tool_id	type	lifecycle	version	owner	domain	stage	path	lang	executable	summary	tags	input_contract	output_contract	validator	last_verified	evidence_path	replacement_tool_id	command_hint
common_adjust_clock_period_py	common_utility	active	0.1.0	unassigned	cts	cts	scripts/common/adjust_clock_period.py	python	1	adjust clock period	common,adjust,clock,period							python3 scripts/common/adjust_clock_period.py
autoidea_bridge	common_utility	active	1.0.0	donghao	knowledge	analysis	scripts/common/autoidea_bridge.py	python	1	Bridge autoIdea recommendations and idea drafts into local queues/knowledge artifacts	autoidea,bridge,paper,idea,knowledge,fusion	external_tools/autoIdea outputs + local feedback queue	autoidea queue + merged queue + fusion report	python3 scripts/common/autoidea_bridge.py --autoidea-root external_tools/autoIdea	2026-03-06	docs/knowledge_base/99_AUTOIDEA_FUSION_REPORT_20260306.md		python3 scripts/common/autoidea_bridge.py --autoidea-root external_tools/autoIdea
build_agent_skill_bundle	common_utility	active	1.0.0	donghao	infrastructure	analysis	scripts/common/build_agent_skill_bundle.py	python	1	Export standalone agent+skill bundle with skill-local mirrored scripts	packaging,bundle,agent,skill,standalone,github	root agent/skills/docs/tool catalog	exports/eda_agent_skill_system bundle	python3 scripts/common/build_agent_skill_bundle.py --out-dir exports/eda_agent_skill_system	2026-03-06	exports/eda_agent_skill_system/README.md		python3 scripts/common/build_agent_skill_bundle.py --out-dir exports/eda_agent_skill_system
common_cleanup_sh	common_utility	active	0.1.0	unassigned	infrastructure	utility	scripts/common/cleanup.sh	bash	1	============================================================	common,cleanup							bash scripts/common/cleanup.sh
common_derive_innovus_tuning_py	common_utility	active	0.1.0	unassigned	infrastructure	utility	scripts/common/derive_innovus_tuning.py	python	1	derive innovus tuning	common,derive,innovus,tuning							python3 scripts/common/derive_innovus_tuning.py
common_experiment_memory_py	common_utility	active	0.1.0	unassigned	infrastructure	utility	scripts/common/experiment_memory.py	python	1	experiment memory	common,experiment,memory							python3 scripts/common/experiment_memory.py
infra_stack_guard	common_utility	active	1.0.0	donghao	infrastructure	preflight	scripts/common/infra_stack_guard.py	python	1	Audit core infrastructure integrity: agent policy, KB, tool registry, and skills	infra,guard,audit	repo root structure + manifests	status summary + detail tsv	python3 scripts/common/infra_stack_guard.py --out-prefix slurm_logs/00_meta/infra_stack_guard_latest	2026-03-06	slurm_logs/00_meta/infra_stack_guard_toolkbskill_20260306.summary.md		python3 scripts/common/infra_stack_guard.py --out-prefix slurm_logs/00_meta/infra_stack_guard_latest
common_init_research_chain_py	common_utility	active	0.1.0	unassigned	infrastructure	utility	scripts/common/init_research_chain.py	python	1	init research chain	common,init,research,chain							python3 scripts/common/init_research_chain.py
common_knowledge_gate_sh	common_utility	active	0.1.0	unassigned	infrastructure	utility	scripts/common/knowledge_gate.sh	bash	1	knowledge gate	common,knowledge,gate							bash scripts/common/knowledge_gate.sh
paper_kb_index	common_utility	active	1.0.0	donghao	knowledge	analysis	scripts/common/paper_kb_index.py	python	1	Build/query paper evidence index with keyword/semantic/logic modes	paper,knowledge,retrieval,semantic	paper manifests + summaries	paper index json/tsv + query_last.tsv	"python3 scripts/common/paper_kb_index.py query --query ""backside routing"" --mode hybrid"	2026-03-06	docs/papers/index/query_last.tsv		python3 scripts/common/paper_kb_index.py build
paper_landscape_feedback	common_utility	active	1.0.0	donghao	knowledge	analysis	scripts/common/paper_landscape_feedback.py	python	1	Detect literature gaps/stale methods and generate targeted retrieval queue	paper,landscape,feedback,queue,gap,stale	global_research_landscape.tsv	98 feedback report + literature_feedback_queue.tsv	python3 scripts/common/paper_landscape_feedback.py	2026-03-06	docs/knowledge_base/98_LITERATURE_FEEDBACK_LOOP.md		python3 scripts/common/paper_landscape_feedback.py
paper_landscape_sync	common_utility	active	1.0.0	donghao	knowledge	analysis	scripts/common/paper_landscape_sync.py	python	1	Sync problem/method landscapes from local paper summaries into linked KB artifacts	paper,knowledge,landscape,problem,method,graph	docs/papers/summaries/*.summary.md	95/96 landscape docs + graph json + matrix tsv	python3 scripts/common/paper_landscape_sync.py build	2026-03-06	docs/knowledge_base/index/landscape_graph.json		python3 scripts/common/paper_landscape_sync.py build
common_prepare_innovus_sdc_py	common_utility	active	0.1.0	unassigned	infrastructure	utility	scripts/common/prepare_innovus_sdc.py	python	1	Commands where the first numeric positional argument is a time value.	common,prepare,innovus,sdc							python3 scripts/common/prepare_innovus_sdc.py
common_research_chain_guard_py	common_utility	active	0.1.0	unassigned	infrastructure	utility	scripts/common/research_chain_guard.py	python	1	research chain guard	common,research,chain,guard							python3 scripts/common/research_chain_guard.py
common_skill_system_audit_py	common_utility	active	0.1.0	unassigned	infrastructure	utility	scripts/common/skill_system_audit.py	python	1	skill system audit	common,skill,system,audit							python3 scripts/common/skill_system_audit.py
common_sync_repo_skills_to_codex_home_sh	common_utility	active	0.1.0	unassigned	infrastructure	utility	scripts/common/sync_repo_skills_to_codex_home.sh	bash	1	sync repo skills to codex home	common,sync,repo,skills,to,codex,home							bash scripts/common/sync_repo_skills_to_codex_home.sh
tool_catalog	common_utility	active	1.1.0	donghao	infrastructure	analysis	scripts/common/tool_catalog.py	python	1	Build/query governed tool catalog with lifecycle/version facets	tool,catalog,registry,infra	keywords + optional facets	markdown table / TSV index	python3 scripts/common/tool_catalog.py query infra	2026-03-06	slurm_logs/00_meta/infra_stack_guard_toolkbskill_20260306.summary.md		python3 scripts/common/tool_catalog.py query cts route --stage cts
common_unified_kb_query_py	common_utility	active	0.1.0	unassigned	infrastructure	utility	scripts/common/unified_kb_query.py	python	1	unified kb query	common,unified,kb,query							python3 scripts/common/unified_kb_query.py
debug_analyze_backside_crossover_vs_innovus_py	debug_tool	active	0.1.0	unassigned	backside_routing	analysis	scripts/debug/analyze_backside_crossover_vs_innovus.py	python	1	analyze backside crossover vs innovus	debug,analyze,backside,crossover,vs,innovus							python3 scripts/debug/analyze_backside_crossover_vs_innovus.py
debug_analyze_backside_net_delay_py	debug_tool	active	0.1.0	unassigned	backside_routing	analysis	scripts/debug/analyze_backside_net_delay.py	python	1	analyze backside net delay	debug,analyze,backside,net,delay							python3 scripts/debug/analyze_backside_net_delay.py
debug_analyze_prects_log_py	debug_tool	active	0.1.0	unassigned	cts	cts	scripts/debug/analyze_prects_log.py	python	1	analyze prects log	debug,analyze,prects,log							python3 scripts/debug/analyze_prects_log.py
debug_analyze_route_backside_distributions_and_model_consistency_py	debug_tool	active	0.1.0	unassigned	backside_routing	route	scripts/debug/analyze_route_backside_distributions_and_model_consistency.py	python	1	analyze route backside distributions and model consistency	debug,analyze,route,backside,distributions,and,model,consistency							python3 scripts/debug/analyze_route_backside_distributions_and_model_consistency.py
debug_auto_fix_layer_namespace_for_gt3_py	debug_tool	active	0.1.0	unassigned	backside_routing	utility	scripts/debug/auto_fix_layer_namespace_for_gt3.py	python	1	High indices first to avoid partial replacements (e.g. metal1 in metal10).	debug,auto,fix,layer,namespace,for,gt3							python3 scripts/debug/auto_fix_layer_namespace_for_gt3.py
debug_backfill_manifest_metrics_py	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/backfill_manifest_metrics.py	python	1	backfill manifest metrics	debug,backfill,manifest,metrics							python3 scripts/debug/backfill_manifest_metrics.py
debug_backside_layer_calibration_2pin_sh	debug_tool	active	0.1.0	unassigned	backside_routing	utility	scripts/debug/backside_layer_calibration_2pin.sh	bash	1	Physical calibration sweep on one 2-pin (or short) net:	debug,backside,layer,calibration,2pin							bash scripts/debug/backside_layer_calibration_2pin.sh
debug_bapp_compare_vanilla_vs_precond_sh	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/bapp_compare_vanilla_vs_precond.sh	bash	1	Clean representative-point compare for BAPP preconditioning methods.	debug,bapp,compare,vanilla,vs,precond							bash scripts/debug/bapp_compare_vanilla_vs_precond.sh
debug_bapp_exp2_hotspot_blockage_sweep_sh	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/bapp_exp2_hotspot_blockage_sweep.sh	bash	1	BAPP Route-A Exp-2:	debug,bapp,exp2,hotspot,blockage,sweep							bash scripts/debug/bapp_exp2_hotspot_blockage_sweep.sh
debug_bapp_exp2_hotspot_pad_sweep_sh	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/bapp_exp2_hotspot_pad_sweep.sh	bash	1	BAPP Exp-2:	debug,bapp,exp2,hotspot,pad,sweep							bash scripts/debug/bapp_exp2_hotspot_pad_sweep.sh
debug_bapp_exp2_rudy_proxy_sweep_sh	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/bapp_exp2_rudy_proxy_sweep.sh	bash	1	BAPP Route-B proxy:	debug,bapp,exp2,rudy,proxy,sweep							bash scripts/debug/bapp_exp2_rudy_proxy_sweep.sh
debug_bapp_exp3_corridor_reservation_sh	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/bapp_exp3_corridor_reservation.sh	bash	1	BAPP Exp-3A:	debug,bapp,exp3,corridor,reservation							bash scripts/debug/bapp_exp3_corridor_reservation.sh
debug_bapp_replace_sink_density_exp1_sh	debug_tool	active	0.1.0	unassigned	placement	place	scripts/debug/bapp_replace_sink_density_exp1.sh	bash	1	BAPP Exp-1 (true RePlAce sink-density perturbation, low-cost).	debug,bapp,replace,sink,density,exp1							bash scripts/debug/bapp_replace_sink_density_exp1.sh
debug_bapp_sink_density_proxy_ab_sh	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/bapp_sink_density_proxy_ab.sh	bash	1	BAPP Exp-1 bridge experiment (low-cost):	debug,bapp,sink,density,proxy,ab							bash scripts/debug/bapp_sink_density_proxy_ab.sh
debug_bayes_opt_multilayer_htree_py	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/bayes_opt_multilayer_htree.py	python	1	bayes opt multilayer htree	debug,bayes,opt,multilayer,htree							python3 scripts/debug/bayes_opt_multilayer_htree.py
debug_bound_sink_displacement_py	debug_tool	active	0.1.0	unassigned	placement	place	scripts/debug/bound_sink_displacement.py	python	1	bound sink displacement	debug,bound,sink,displacement							python3 scripts/debug/bound_sink_displacement.py
debug_bridge_goal_settings_to_lastchance10_py	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/bridge_goal_settings_to_lastchance10.py	python	1	bridge goal settings to lastchance10	debug,bridge,goal,settings,to,lastchance10							python3 scripts/debug/bridge_goal_settings_to_lastchance10.py
debug_bscost_delay_consistency_capacity_gate_py	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/bscost_delay_consistency_capacity_gate.py	python	1	bscost delay consistency capacity gate	debug,bscost,delay,consistency,capacity,gate							python3 scripts/debug/bscost_delay_consistency_capacity_gate.py
debug_bscost_theory_opt_stability_gate_py	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/bscost_theory_opt_stability_gate.py	python	1	bscost theory opt stability gate	debug,bscost,theory,opt,stability,gate							python3 scripts/debug/bscost_theory_opt_stability_gate.py
debug_bucketed_delay_model_scorecard_py	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/bucketed_delay_model_scorecard.py	python	1	bucketed delay model scorecard	debug,bucketed,delay,model,scorecard							python3 scripts/debug/bucketed_delay_model_scorecard.py
debug_build_backside_net_scorer_sh	debug_tool	active	0.1.0	unassigned	backside_routing	utility	scripts/debug/build_backside_net_scorer.sh	bash	1	build backside net scorer	debug,build,backside,net,scorer							bash scripts/debug/build_backside_net_scorer.sh
debug_build_paired_delta_dataset_py	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/build_paired_delta_dataset.py	python	1	build paired delta dataset	debug,build,paired,delta,dataset							python3 scripts/debug/build_paired_delta_dataset.py
debug_causal_single_net_backside_sweep_sh	debug_tool	active	0.1.0	unassigned	backside_routing	utility	scripts/debug/causal_single_net_backside_sweep.sh	bash	1	Causal-style experiment:	debug,causal,single,net,backside,sweep							bash scripts/debug/causal_single_net_backside_sweep.sh
debug_check_delay_model_contract_py	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/check_delay_model_contract.py	python	1	check delay model contract	debug,check,delay,model,contract							python3 scripts/debug/check_delay_model_contract.py
debug_check_lef_layer_compatibility_py	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/check_lef_layer_compatibility.py	python	1	check lef layer compatibility	debug,check,lef,layer,compatibility							python3 scripts/debug/check_lef_layer_compatibility.py
debug_check_theory_veto_gate_py	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/check_theory_veto_gate.py	python	1	check theory veto gate	debug,check,theory,veto,gate							python3 scripts/debug/check_theory_veto_gate.py
debug_clock_sink_density_heatmap_py	debug_tool	active	0.1.0	unassigned	cts	cts	scripts/debug/clock_sink_density_heatmap.py	python	1	clock sink density heatmap	debug,clock,sink,density,heatmap							python3 scripts/debug/clock_sink_density_heatmap.py
debug_clocktree_cts_layer_compare_sh	debug_tool	active	0.1.0	unassigned	cts	cts	scripts/debug/clocktree_cts_layer_compare.sh	bash	1	Compare CTS route-layer policies while keeping signal routing frontside.	debug,clocktree,cts,layer,compare							bash scripts/debug/clocktree_cts_layer_compare.sh
debug_collect_replace_compare_master_report_py	debug_tool	active	0.1.0	unassigned	placement	place	scripts/debug/collect_replace_compare_master_report.py	python	1	collect replace compare master report	debug,collect,replace,compare,master,report							python3 scripts/debug/collect_replace_compare_master_report.py
debug_collect_replace_route_ppa_compare_py	debug_tool	active	0.1.0	unassigned	route	place	scripts/debug/collect_replace_route_ppa_compare.py	python	1	collect replace route ppa compare	debug,collect,replace,route,ppa,compare							python3 scripts/debug/collect_replace_route_ppa_compare.py
debug_create_stage_golden_checkpoint_sh	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/create_stage_golden_checkpoint.sh	bash	1	create stage golden checkpoint	debug,create,stage,golden,checkpoint							bash scripts/debug/create_stage_golden_checkpoint.sh
debug_cts_precondition_ab_test_sh	debug_tool	active	0.1.0	unassigned	cts	cts	scripts/debug/cts_precondition_ab_test.sh	bash	1	Parallel A/B CTS preconditioning sweep.	debug,cts,precondition,ab,test							bash scripts/debug/cts_precondition_ab_test.sh
debug_cts_two_side_baseline_matrix_sh	debug_tool	active	0.1.0	unassigned	cts	cts	scripts/debug/cts_two_side_baseline_matrix.sh	bash	1	One-click matrix runner for CTS baselines:	debug,cts,two,side,baseline,matrix							bash scripts/debug/cts_two_side_baseline_matrix.sh
debug_def_to_stub_netlist_py	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/def_to_stub_netlist.py	python	1	DEF uses backslash escapes for special characters in identifiers.	debug,def,to,stub,netlist							python3 scripts/debug/def_to_stub_netlist.py
debug_demo_cts_htree_0_baseline_route_sh	debug_tool	active	0.1.0	unassigned	cts	cts	scripts/debug/demo_cts_htree_0_baseline_route.sh	bash	1	Demo-0:	debug,demo,cts,htree,0,baseline,route							bash scripts/debug/demo_cts_htree_0_baseline_route.sh
debug_demo_cts_htree_1_fixed_tree_non_strict_sh	debug_tool	active	0.1.0	unassigned	cts	cts	scripts/debug/demo_cts_htree_1_fixed_tree_non_strict.sh	bash	1	Demo-1:	debug,demo,cts,htree,1,fixed,tree,non,strict							bash scripts/debug/demo_cts_htree_1_fixed_tree_non_strict.sh
debug_demo_cts_htree_2_fixed_tree_strict_sh	debug_tool	active	0.1.0	unassigned	cts	cts	scripts/debug/demo_cts_htree_2_fixed_tree_strict.sh	bash	1	Demo-2:	debug,demo,cts,htree,2,fixed,tree,strict							bash scripts/debug/demo_cts_htree_2_fixed_tree_strict.sh
debug_demo_multilayer_htree_cost_py	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/demo_multilayer_htree_cost.py	python	1	demo multilayer htree cost	debug,demo,multilayer,htree,cost							python3 scripts/debug/demo_multilayer_htree_cost.py
debug_dp_select_from_scorer_report_py	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/dp_select_from_scorer_report.py	python	1	dp select from scorer report	debug,dp,select,from,scorer,report							python3 scripts/debug/dp_select_from_scorer_report.py
debug_enforce_execution_contract_sh	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/enforce_execution_contract.sh	bash	1	enforce execution contract	debug,enforce,execution,contract							bash scripts/debug/enforce_execution_contract.sh
debug_estimate_s8_dynamic_expected_vs_actual_py	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/estimate_s8_dynamic_expected_vs_actual.py	python	1	estimate s8 dynamic expected vs actual	debug,estimate,s8,dynamic,expected,vs,actual							python3 scripts/debug/estimate_s8_dynamic_expected_vs_actual.py
debug_estimate_s8_theoretical_vs_actual_power_py	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/estimate_s8_theoretical_vs_actual_power.py	python	1	estimate s8 theoretical vs actual power	debug,estimate,s8,theoretical,vs,actual,power							python3 scripts/debug/estimate_s8_theoretical_vs_actual_power.py
debug_eval_h123_route_abc_gate_py	debug_tool	active	0.1.0	unassigned	route	route	scripts/debug/eval_h123_route_abc_gate.py	python	1	eval h123 route abc gate	debug,eval,h123,route,abc,gate							python3 scripts/debug/eval_h123_route_abc_gate.py
debug_evaluate_placement_resource_pressure_py	debug_tool	active	0.1.0	unassigned	placement	place	scripts/debug/evaluate_placement_resource_pressure.py	python	1	evaluate placement resource pressure	debug,evaluate,placement,resource,pressure							python3 scripts/debug/evaluate_placement_resource_pressure.py
debug_extract_clock_buffer_instances_from_def_py	debug_tool	active	0.1.0	unassigned	cts	cts	scripts/debug/extract_clock_buffer_instances_from_def.py	python	1	extract clock buffer instances from def	debug,extract,clock,buffer,instances,from,def							python3 scripts/debug/extract_clock_buffer_instances_from_def.py
debug_extract_clock_sink_instances_from_def_py	debug_tool	active	0.1.0	unassigned	cts	cts	scripts/debug/extract_clock_sink_instances_from_def.py	python	1	extract clock sink instances from def	debug,extract,clock,sink,instances,from,def							python3 scripts/debug/extract_clock_sink_instances_from_def.py
debug_extract_initial_drv_wns_tns_py	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/extract_initial_drv_wns_tns.py	python	1	extract initial drv wns tns	debug,extract,initial,drv,wns,tns							python3 scripts/debug/extract_initial_drv_wns_tns.py
debug_extract_topk_clock_nets_from_def_py	debug_tool	active	0.1.0	unassigned	cts	cts	scripts/debug/extract_topk_clock_nets_from_def.py	python	1	extract topk clock nets from def	debug,extract,topk,clock,nets,from,def							python3 scripts/debug/extract_topk_clock_nets_from_def.py
debug_extract_topk_long_nets_from_def_py	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/extract_topk_long_nets_from_def.py	python	1	extract topk long nets from def	debug,extract,topk,long,nets,from,def							python3 scripts/debug/extract_topk_long_nets_from_def.py
debug_finalize_openroad_cts_baseline_sh	debug_tool	active	0.1.0	unassigned	cts	cts	scripts/debug/finalize_openroad_cts_baseline.sh	bash	1	Finalize one OpenROAD-CTS baseline run from manifest generated by:	debug,finalize,openroad,cts,baseline							bash scripts/debug/finalize_openroad_cts_baseline.sh
debug_gen_clock_corridor_blockages_py	debug_tool	active	0.1.0	unassigned	cts	cts	scripts/debug/gen_clock_corridor_blockages.py	python	1	gen clock corridor blockages	debug,gen,clock,corridor,blockages							python3 scripts/debug/gen_clock_corridor_blockages.py
debug_gen_hotspot_soft_blockages_py	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/gen_hotspot_soft_blockages.py	python	1	gen hotspot soft blockages	debug,gen,hotspot,soft,blockages							python3 scripts/debug/gen_hotspot_soft_blockages.py
debug_generate_bspdn_goal_campaign_py	debug_tool	active	0.1.0	unassigned	backside_routing	utility	scripts/debug/generate_bspdn_goal_campaign.py	python	1	generate bspdn goal campaign	debug,generate,bspdn,goal,campaign							python3 scripts/debug/generate_bspdn_goal_campaign.py
debug_generate_testcase_first_campaign_py	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/generate_testcase_first_campaign.py	python	1	Few directions with high mechanism information gain.	debug,generate,testcase,first,campaign							python3 scripts/debug/generate_testcase_first_campaign.py
debug_gt3_backside_hypothesis_eval_sh	debug_tool	active	0.1.0	unassigned	backside_routing	utility	scripts/debug/gt3_backside_hypothesis_eval.sh	bash	1	Evaluate hypothesis on PROBE GT3-like setup:	debug,gt3,backside,hypothesis,eval							bash scripts/debug/gt3_backside_hypothesis_eval.sh
debug_gt3_rc_completion_probe_sh	debug_tool	active	0.1.0	unassigned	backside_routing	utility	scripts/debug/gt3_rc_completion_probe.sh	bash	1	GT3 RC-completion probe matrix.	debug,gt3,rc,completion,probe							bash scripts/debug/gt3_rc_completion_probe.sh
debug_launch_testcase_first_chipbench_campaign_py	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/launch_testcase_first_chipbench_campaign.py	python	1	launch testcase first chipbench campaign	debug,launch,testcase,first,chipbench,campaign							python3 scripts/debug/launch_testcase_first_chipbench_campaign.py
debug_lc_compile_lib_to_db_sh	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/lc_compile_lib_to_db.sh	bash	1	Compile Liberty .lib into Synopsys .db using lc_shell on Slurm nodes.	debug,lc,compile,lib,to,db							bash scripts/debug/lc_compile_lib_to_db.sh
debug_monitor_route_run_manifest_py	debug_tool	active	0.1.0	unassigned	route	route	scripts/debug/monitor_route_run_manifest.py	python	1	monitor route run manifest	debug,monitor,route,manifest							python3 scripts/debug/monitor_route_run_manifest.py
debug_offline_rc_consistency_regression_py	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/offline_rc_consistency_regression.py	python	1	offline rc consistency regression	debug,offline,rc,consistency,regression							python3 scripts/debug/offline_rc_consistency_regression.py
debug_one_click_validate_new_cases_sh	debug_tool	active	0.1.0	unassigned	general	utility	scripts/debug/one_click_validate_new_cases.sh	bash	1	One-click validation for new external RTL cases.	debug,one,click,validate,new,cases							bash scripts/debug/one_click_validate_new_cases.sh
debug_openroad_cts_bridge_baseline_all_cases_sh	debug_tool	active	0.1.0	unassigned	cts	cts	scripts/debug/openroad_cts_bridge_baseline_all_cases.sh	bash	1	Batch submit OpenROAD-CTS bridge baselines across multiple designs.	debug,openroad,cts,bridge,baseline,all,cases							bash scripts/debug/openroad_cts_bridge_baseline_all_cases.sh
debug_pdk_flow_preflight_py	debug_tool	active	0.1.0	unassigned	general	preflight	scripts/debug/pdk_flow_preflight.py	python	1	pdk flow preflight	debug,pdk,flow,preflight							python3 scripts/debug/pdk_flow_preflight.py
debug_plot_backside_compare_py	debug_tool	active	0.1.0	unassigned	backside_routing	utility	scripts/debug/plot_backside_compare.py	python	1	plot backside compare	debug,plot,backside,compare							python3 scripts/debug/plot_backside_compare.py
